unit,age,sex,geography,date,value
RT,TOTAL,C,M,2013,345.49
RT,TOTAL,C,M,2013,344.83
RT,TOTAL,C,M,2013,294.2
RT,TOTAL,C,M,2013,266.57
RT,TOTAL,C,M,2013,389.22
RT,TOTAL,C,M,2013,336.16
RT,TOTAL,C,M,2013,365.47
RT,TOTAL,C,M,2013,468.7
RT,TOTAL,C,M,2013,345.49
RT,TOTAL,C,M,2013,346.2
RT,TOTAL,C,M,2013,355.7
RT,TOTAL,C,M,2013,352.5
RT,TOTAL,C,M,2013,288.14
RT,TOTAL,C,M,2013,343.87
RT,TOTAL,C,M,2013,477.02
RT,TOTAL,C,M,2013,487.91
RT,TOTAL,C,M,2013,349.93
RT,TOTAL,C,M,2013,290.79
RT,TOTAL,C,M,2013,339.09
RT,TOTAL,C,M,2013,241.66
RT,TOTAL,C,M,2013,424.85
RT,TOTAL,C,M,2013,315.83
RT,TOTAL,C,M,2013,476.09
RT,TOTAL,C,M,2013,294.63
RT,TOTAL,C,M,2013,362.42
RT,TOTAL,C,M,2013,317.34
RT,TOTAL,C,M,2013,410.71
RT,TOTAL,C,M,2013,350.61
RT,TOTAL,C,M,2013,374.48
RT,TOTAL,C,M,2013,391.21
RT,TOTAL,C,M,2013,282.4
RT,TOTAL,C,M,2013,445.18
RT,TOTAL,C,M,2013,476.81
RT,TOTAL,C,M,2013,308.02
RT,TOTAL,C,M,2013,343.32
RT,TOTAL,C,T,2013,249.7
RT,TOTAL,C,T,2013,259.57
RT,TOTAL,C,T,2013,246.22
RT,TOTAL,C,T,2013,223.51
RT,TOTAL,C,T,2013,202.34
RT,TOTAL,C,T,2013,289.66
RT,TOTAL,C,T,2013,257.92
RT,TOTAL,C,T,2013,301.57
RT,TOTAL,C,T,2013,291.13
RT,TOTAL,C,T,2013,250.87
RT,TOTAL,C,T,2013,238.94
RT,TOTAL,C,T,2013,262.18
RT,TOTAL,C,T,2013,263.36
RT,TOTAL,C,T,2013,223.0
RT,TOTAL,C,T,2013,246.18
RT,TOTAL,C,T,2013,333.81
RT,TOTAL,C,T,2013,352.59
RT,TOTAL,C,T,2013,286.47
RT,TOTAL,C,T,2013,252.08
RT,TOTAL,C,T,2013,250.63
RT,TOTAL,C,T,2013,248.25
RT,TOTAL,C,T,2013,272.6
RT,TOTAL,C,T,2013,243.79
RT,TOTAL,C,T,2013,300.6
RT,TOTAL,C,T,2013,230.1
RT,TOTAL,C,T,2013,284.39
RT,TOTAL,C,T,2013,252.87
RT,TOTAL,C,T,2013,292.43
RT,TOTAL,C,T,2013,242.99
RT,TOTAL,C,T,2013,269.76
RT,TOTAL,C,T,2013,297.95
RT,TOTAL,C,T,2013,236.86
RT,TOTAL,C,T,2013,314.66
RT,TOTAL,C,T,2013,327.06
RT,TOTAL,C,T,2013,206.21
RT,TOTAL,C,T,2013,280.13
RT,TOTAL,C,F,2014,202.41
RT,TOTAL,C,F,2014,195.93
RT,TOTAL,C,F,2014,178.96
RT,TOTAL,C,F,2014,173.13
RT,TOTAL,C,F,2014,140.36
RT,TOTAL,C,F,2014,219.77
RT,TOTAL,C,F,2014,202.16
RT,TOTAL,C,F,2014,258.31
RT,TOTAL,C,F,2014,217.78
RT,TOTAL,C,F,2014,173.54
RT,TOTAL,C,F,2014,155.94
